"Country" "Voter" "Points"
"Ireland" "at" "12"
"Germany" "at" "10"
"Italy" "at" "6"
"Yugoslavia" "at" "8"
"Netherlands" "at" "2"
"Denmark" "at" "7"
"Cyprus" "at" ""
"Israel" "at" "1"
"Norway" "at" "4"
"Greece" "at" ""
"Belgium" "at" "3"
"Sweden" "at" ""
"United Kingdom" "at" "5"
"France" "at" ""
"Finland" "at" ""
"Iceland" "at" ""
"Switzerland" "at" ""
"Portugal" "at" ""
"Spain" "at" ""
"Austria" "at" ""
"Luxembourg" "at" ""
"Turkey" "at" ""
"Ireland" "be" "12"
"Germany" "be" "10"
"Italy" "be" "5"
"Yugoslavia" "be" "8"
"Netherlands" "be" ""
"Denmark" "be" ""
"Cyprus" "be" ""
"Israel" "be" "6"
"Norway" "be" "7"
"Greece" "be" "2"
"Belgium" "be" ""
"Sweden" "be" "1"
"United Kingdom" "be" "3"
"France" "be" ""
"Finland" "be" ""
"Iceland" "be" "4"
"Switzerland" "be" ""
"Portugal" "be" ""
"Spain" "be" ""
"Austria" "be" ""
"Luxembourg" "be" ""
"Turkey" "be" ""
"Ireland" "cy" "8"
"Germany" "cy" "6"
"Italy" "cy" "1"
"Yugoslavia" "cy" "10"
"Netherlands" "cy" ""
"Denmark" "cy" ""
"Cyprus" "cy" ""
"Israel" "cy" ""
"Norway" "cy" "3"
"Greece" "cy" "12"
"Belgium" "cy" "5"
"Sweden" "cy" "7"
"United Kingdom" "cy" "2"
"France" "cy" ""
"Finland" "cy" ""
"Iceland" "cy" ""
"Switzerland" "cy" "4"
"Portugal" "cy" ""
"Spain" "cy" ""
"Austria" "cy" ""
"Luxembourg" "cy" ""
"Turkey" "cy" ""
"Ireland" "dk" "5"
"Germany" "dk" "12"
"Italy" "dk" ""
"Yugoslavia" "dk" "8"
"Netherlands" "dk" "2"
"Denmark" "dk" ""
"Cyprus" "dk" "10"
"Israel" "dk" ""
"Norway" "dk" "3"
"Greece" "dk" "6"
"Belgium" "dk" ""
"Sweden" "dk" "7"
"United Kingdom" "dk" "4"
"France" "dk" ""
"Finland" "dk" ""
"Iceland" "dk" ""
"Switzerland" "dk" "1"
"Portugal" "dk" ""
"Spain" "dk" ""
"Austria" "dk" ""
"Luxembourg" "dk" ""
"Turkey" "dk" ""
"Ireland" "fi" "12"
"Germany" "fi" "10"
"Italy" "fi" "4"
"Yugoslavia" "fi" ""
"Netherlands" "fi" "2"
"Denmark" "fi" "8"
"Cyprus" "fi" "6"
"Israel" "fi" "7"
"Norway" "fi" "5"
"Greece" "fi" ""
"Belgium" "fi" "3"
"Sweden" "fi" ""
"United Kingdom" "fi" "1"
"France" "fi" ""
"Finland" "fi" ""
"Iceland" "fi" ""
"Switzerland" "fi" ""
"Portugal" "fi" ""
"Spain" "fi" ""
"Austria" "fi" ""
"Luxembourg" "fi" ""
"Turkey" "fi" ""
"Ireland" "fr" "1"
"Germany" "fr" "6"
"Italy" "fr" ""
"Yugoslavia" "fr" "2"
"Netherlands" "fr" "12"
"Denmark" "fr" "8"
"Cyprus" "fr" "5"
"Israel" "fr" "10"
"Norway" "fr" "4"
"Greece" "fr" "7"
"Belgium" "fr" ""
"Sweden" "fr" "3"
"United Kingdom" "fr" ""
"France" "fr" ""
"Finland" "fr" ""
"Iceland" "fr" ""
"Switzerland" "fr" ""
"Portugal" "fr" ""
"Spain" "fr" ""
"Austria" "fr" ""
"Luxembourg" "fr" ""
"Turkey" "fr" ""
"Ireland" "de" "6"
"Germany" "de" ""
"Italy" "de" "12"
"Yugoslavia" "de" ""
"Netherlands" "de" ""
"Denmark" "de" ""
"Cyprus" "de" "3"
"Israel" "de" "8"
"Norway" "de" "7"
"Greece" "de" ""
"Belgium" "de" "4"
"Sweden" "de" ""
"United Kingdom" "de" ""
"France" "de" "5"
"Finland" "de" "1"
