"Country" "Voter" "Points"
"Turkey" "at" "12"
"Belgium" "at" "4"
"Russia" "at" "8"
"Norway" "at" "2"
"Sweden" "at" "3"
"Austria" "at" ""
"Poland" "at" "10"
"Iceland" "at" ""
"Spain" "at" ""
"Romania" "at" "6"
"Ireland" "at" ""
"Germany" "at" "1"
"Netherlands" "at" ""
"Ukraine" "at" ""
"Croatia" "at" "5"
"Bosnia & Herzegovina" "at" "7"
"Greece" "at" ""
"France" "at" ""
"Israel" "at" ""
"Cyprus" "at" ""
"Estonia" "at" ""
"Portugal" "at" ""
"Slovenia" "at" ""
"Latvia" "at" ""
"Malta" "at" ""
"United Kingdom" "at" ""
"Turkey" "be" "12"
"Belgium" "be" ""
"Russia" "be" "7"
"Norway" "be" "6"
"Sweden" "be" "4"
"Austria" "be" "2"
"Poland" "be" "5"
"Iceland" "be" "3"
"Spain" "be" "10"
"Romania" "be" ""
"Ireland" "be" "1"
"Germany" "be" ""
"Netherlands" "be" "8"
"Ukraine" "be" ""
"Croatia" "be" ""
"Bosnia & Herzegovina" "be" ""
"Greece" "be" ""
"France" "be" ""
"Israel" "be" ""
"Cyprus" "be" ""
"Estonia" "be" ""
"Portugal" "be" ""
"Slovenia" "be" ""
"Latvia" "be" ""
"Malta" "be" ""
"United Kingdom" "be" ""
"Turkey" "ba" "12"
"Belgium" "ba" "10"
"Russia" "ba" "3"
"Norway" "ba" ""
"Sweden" "ba" "1"
"Austria" "ba" "5"
"Poland" "ba" ""
"Iceland" "ba" ""
"Spain" "ba" ""
"Romania" "ba" "7"
"Ireland" "ba" ""
"Germany" "ba" ""
"Netherlands" "ba" "2"
"Ukraine" "ba" ""
"Croatia" "ba" "6"
"Bosnia & Herzegovina" "ba" ""
"Greece" "ba" ""
"France" "ba" "8"
"Israel" "ba" ""
"Cyprus" "ba" ""
"Estonia" "ba" ""
"Portugal" "ba" ""
"Slovenia" "ba" "4"
"Latvia" "ba" ""
"Malta" "ba" ""
"United Kingdom" "ba" ""
"Turkey" "hr" "10"
