"Country" "Voter" "Points"
"Switzerland" "at" ""
"United Kingdom" "at" "10"
"Denmark" "at" "12"
"Luxembourg" "at" "1"
"Norway" "at" "3"
"Yugoslavia" "at" "4"
"Israel" "at" "2"
"Ireland" "at" "6"
"Netherlands" "at" ""
"France" "at" "7"
"Spain" "at" "8"
"Sweden" "at" ""
"Italy" "at" "5"
"Germany" "at" ""
"Turkey" "at" ""
"Iceland" "at" ""
"Greece" "at" ""
"Belgium" "at" ""
"Portugal" "at" ""
"Finland" "at" ""
"Austria" "at" ""
"Switzerland" "be" "4"
"United Kingdom" "be" "12"
"Denmark" "be" "7"
"Luxembourg" "be" "8"
"Norway" "be" "3"
"Yugoslavia" "be" ""
"Israel" "be" "10"
"Ireland" "be" "5"
"Netherlands" "be" ""
"France" "be" "2"
"Spain" "be" "6"
"Sweden" "be" "1"
"Italy" "be" ""
"Germany" "be" ""
"Turkey" "be" ""
"Iceland" "be" ""
"Greece" "be" ""
"Belgium" "be" ""
"Portugal" "be" ""
"Finland" "be" ""
"Austria" "be" ""
"Switzerland" "dk" ""
"United Kingdom" "dk" "10"
"Denmark" "dk" ""
"Luxembourg" "dk" "2"
"Norway" "dk" "5"
"Yugoslavia" "dk" "12"
"Israel" "dk" ""
"Ireland" "dk" "7"
"Netherlands" "dk" ""
"France" "dk" "3"
"Spain" "dk" "1"
"Sweden" "dk" "8"
"Italy" "dk" ""
"Germany" "dk" "6"
"Turkey" "dk" ""
"Iceland" "dk" "4"
"Greece" "dk" ""
"Belgium" "dk" ""
"Portugal" "dk" ""
"Finland" "dk" ""
"Austria" "dk" ""
"Switzerland" "fi" "5"
"United Kingdom" "fi" "10"
"Denmark" "fi" "4"
"Luxembourg" "fi" "12"
"Norway" "fi" "7"
"Yugoslavia" "fi" "1"
"Israel" "fi" "6"
"Ireland" "fi" "2"
"Netherlands" "fi" ""
"France" "fi" "3"
"Spain" "fi" ""
"Sweden" "fi" ""
"Italy" "fi" "8"
"Germany" "fi" ""
"Turkey" "fi" ""
"Iceland" "fi" ""
"Greece" "fi" ""
"Belgium" "fi" ""
"Portugal" "fi" ""
"Finland" "fi" ""
"Austria" "fi" ""
"Switzerland" "fr" "1"
"United Kingdom" "fr" ""
"Denmark" "fr" "12"
"Luxembourg" "fr" ""
"Norway" "fr" ""
"Yugoslavia" "fr" "3"
"Israel" "fr" "10"
"Ireland" "fr" "4"
"Netherlands" "fr" ""
"France" "fr" ""
"Spain" "fr" ""
"Sweden" "fr" ""
"Italy" "fr" "8"
"Germany" "fr" ""
"Turkey" "fr" "6"
"Iceland" "fr" "2"
"Greece" "fr" "7"
"Belgium" "fr" "5"
"Portugal" "fr" ""
"Finland" "fr" ""
"Austria" "fr" ""
"Switzerland" "de" "12"
"United Kingdom" "de" "10"
"Denmark" "de" "4"
"Luxembourg" "de" ""
"Norway" "de" "1"
"Yugoslavia" "de" ""
"Israel" "de" "5"
"Ireland" "de" "7"
"Netherlands" "de" "6"
"France" "de" "3"
"Spain" "de" ""
"Sweden" "de" ""
"Italy" "de" "2"
"Germany" "de" ""
"Turkey" "de" "8"
"Iceland" "de" ""
"Greece" "de" ""
"Belgium" "de" ""
"Portugal" "de" ""
"Finland" "de" ""
"Austria" "de" ""
"Switzerland" "gr" "10"
"United Kingdom" "gr" "6"
"Denmark" "gr" ""
"Luxembourg" "gr" "2"
"Norway" "gr" "7"
"Yugoslavia" "gr" "4"
"Israel" "gr" "3"
"Ireland" "gr" ""
"Netherlands" "gr" "12"
"France" "gr" "5"
"Spain" "gr" "8"
"Sweden" "gr" ""
"Italy" "gr" ""
"Germany" "gr" ""
"Turkey" "gr" ""
"Iceland" "gr" ""
"Greece" "gr" ""
"Belgium" "gr" ""
"Portugal" "gr" "1"
"Finland" "gr" ""
"Austria" "gr" ""
"Switzerland" "is" "7"
"United Kingdom" "is" "1"
"Denmark" "is" "10"
"Luxembourg" "is" "4"
"Norway" "is" "5"
"Yugoslavia" "is" "12"
"Israel" "is" "6"
"Ireland" "is" ""
"Netherlands" "is" ""
"France" "is" ""
"Spain" "is" "2"
"Sweden" "is" "3"
"Italy" "is" ""
"Germany" "is" "8"
"Turkey" "is" ""
"Iceland" "is" ""
"Greece" "is" ""
"Belgium" "is" ""
"Portugal" "is" ""
"Finland" "is" ""
"Austria" "is" ""
"Switzerland" "ie" "10"
"United Kingdom" "ie" "7"
"Denmark" "ie" "4"
"Luxembourg" "ie" "12"
"Norway" "ie" "8"
"Yugoslavia" "ie" "3"
"Israel" "ie" "1"
"Ireland" "ie" ""
"Netherlands" "ie" "2"
"France" "ie" ""
"Spain" "ie" ""
"Sweden" "ie" "5"
"Italy" "ie" ""
"Germany" "ie" "6"
"Turkey" "ie" ""
"Iceland" "ie" ""
"Greece" "ie" ""
"Belgium" "ie" ""
"Portugal" "ie" ""
"Finland" "ie" ""
"Austria" "ie" ""
"Switzerland" "il" "4"
"United Kingdom" "il" "10"
"Denmark" "il" "6"
"Luxembourg" "il" ""
"Norway" "il" "1"
"Yugoslavia" "il" "12"
"Israel" "il" ""
"Ireland" "il" ""
"Netherlands" "il" "7"
"France" "il" ""
"Spain" "il" "2"
"Sweden" "il" ""
"Italy" "il" ""
"Germany" "il" "5"
"Turkey" "il" "8"
"Iceland" "il" ""
"Greece" "il" ""
"Belgium" "il" ""
"Portugal" "il" ""
"Finland" "il" "3"
"Austria" "il" ""
"Switzerland" "it" "7"
"United Kingdom" "it" "12"
"Denmark" "it" ""
"Luxembourg" "it" "2"
"Norway" "it" "4"
"Yugoslavia" "it" "6"
"Israel" "it" "3"
"Ireland" "it" ""
"Netherlands" "it" "5"
"France" "it" ""
"Spain" "it" "8"
"Sweden" "it" "10"
"Italy" "it" ""
"Germany" "it" ""
