"Country" "Voter" "Points"
"Ireland" "at" "10"
"Germany" "at" "8"
"United Kingdom" "at" "7"
"Switzerland" "at" "6"
"Netherlands" "at" "12"
"Italy" "at" "2"
"Portugal" "at" ""
"Austria" "at" ""
"Luxembourg" "at" "1"
"Sweden" "at" ""
"France" "at" ""
"Spain" "at" "4"
"Greece" "at" "5"
"Denmark" "at" ""
"Turkey" "at" "3"
"Norway" "at" ""
"Belgium" "at" ""
"Morocco" "at" ""
"Finland" "at" ""
"Ireland" "be" "12"
"Germany" "be" "7"
"United Kingdom" "be" "6"
"Switzerland" "be" "2"
"Netherlands" "be" "3"
"Italy" "be" "10"
"Portugal" "be" "4"
"Austria" "be" "1"
"Luxembourg" "be" "8"
"Sweden" "be" ""
"France" "be" "5"
"Spain" "be" ""
"Greece" "be" ""
"Denmark" "be" ""
"Turkey" "be" ""
"Norway" "be" ""
"Belgium" "be" ""
"Morocco" "be" ""
"Finland" "be" ""
"Ireland" "dk" "12"
"Germany" "dk" "7"
"United Kingdom" "dk" "10"
"Switzerland" "dk" "8"
"Netherlands" "dk" ""
"Italy" "dk" "3"
"Portugal" "dk" "6"
"Austria" "dk" "5"
"Luxembourg" "dk" "4"
"Sweden" "dk" ""
"France" "dk" "1"
"Spain" "dk" ""
"Greece" "dk" "2"
"Denmark" "dk" ""
"Turkey" "dk" ""
"Norway" "dk" ""
"Belgium" "dk" ""
"Morocco" "dk" ""
"Finland" "dk" ""
"Ireland" "fi" "8"
"Germany" "fi" "2"
"United Kingdom" "fi" "4"
"Switzerland" "fi" "12"
"Netherlands" "fi" "10"
"Italy" "fi" "6"
"Portugal" "fi" "1"
"Austria" "fi" "5"
"Luxembourg" "fi" "3"
"Sweden" "fi" ""
"France" "fi" ""
"Spain" "fi" ""
"Greece" "fi" ""
"Denmark" "fi" "7"
"Turkey" "fi" ""
"Norway" "fi" ""
"Belgium" "fi" ""
"Morocco" "fi" ""
"Finland" "fi" ""
"Ireland" "fr" "8"
"Germany" "fr" "10"
"United Kingdom" "fr" "5"
"Switzerland" "fr" ""
"Netherlands" "fr" "12"
"Italy" "fr" "2"
"Portugal" "fr" "6"
"Austria" "fr" "4"
"Luxembourg" "fr" "7"
"Sweden" "fr" ""
"France" "fr" ""
"Spain" "fr" ""
"Greece" "fr" ""
"Denmark" "fr" ""
"Turkey" "fr" ""
"Norway" "fr" "3"
"Belgium" "fr" ""
"Morocco" "fr" ""
"Finland" "fr" "1"
"Ireland" "de" "12"
"Germany" "de" ""
"United Kingdom" "de" "3"
"Switzerland" "de" "10"
"Netherlands" "de" "8"
"Italy" "de" "7"
"Portugal" "de" "1"
"Austria" "de" "4"
"Luxembourg" "de" ""
"Sweden" "de" "2"
"France" "de" ""
"Spain" "de" ""
"Greece" "de" ""
"Denmark" "de" "5"
"Turkey" "de" ""
"Norway" "de" "6"
"Belgium" "de" ""
"Morocco" "de" ""
"Finland" "de" ""
"Ireland" "gr" "12"
"Germany" "gr" ""
"United Kingdom" "gr" ""
"Switzerland" "gr" ""
"Netherlands" "gr" "6"
"Italy" "gr" "2"
"Portugal" "gr" "5"
"Austria" "gr" "1"
"Luxembourg" "gr" ""
"Sweden" "gr" "10"
"France" "gr" "7"
"Spain" "gr" "8"
"Greece" "gr" ""
"Denmark" "gr" "4"
"Turkey" "gr" ""
"Norway" "gr" ""
"Belgium" "gr" "3"
"Morocco" "gr" ""
"Finland" "gr" ""
"Ireland" "ie" ""
"Germany" "ie" "5"
"United Kingdom" "ie" "6"
"Switzerland" "ie" "12"
"Netherlands" "ie" "1"
"Italy" "ie" "2"
"Portugal" "ie" "7"
"Austria" "ie" "10"
"Luxembourg" "ie" "8"
"Sweden" "ie" ""
"France" "ie" "3"
"Spain" "ie" ""
"Greece" "ie" "4"
"Denmark" "ie" ""
"Turkey" "ie" ""
"Norway" "ie" ""
"Belgium" "ie" ""
"Morocco" "ie" ""
"Finland" "ie" ""
"Ireland" "it" "1"
"Germany" "it" "12"
"United Kingdom" "it" ""
"Switzerland" "it" "3"
"Netherlands" "it" ""
"Italy" "it" ""
"Portugal" "it" "10"
"Austria" "it" "4"
"Luxembourg" "it" ""
"Sweden" "it" "5"
"France" "it" ""
"Spain" "it" "6"
"Greece" "it" "2"
"Denmark" "it" ""
"Turkey" "it" "8"
"Norway" "it" ""
"Belgium" "it" ""
"Morocco" "it" "7"
"Finland" "it" ""
"Ireland" "lu" "7"
"Germany" "lu" "3"
"United Kingdom" "lu" "8"
"Switzerland" "lu" "5"
"Netherlands" "lu" "12"
"Italy" "lu" ""
"Portugal" "lu" "4"
"Austria" "lu" ""
"Luxembourg" "lu" ""
"Sweden" "lu" "10"
"France" "lu" "2"
"Spain" "lu" "6"
"Greece" "lu" "1"
"Denmark" "lu" ""
"Turkey" "lu" ""
"Norway" "lu" ""
"Belgium" "lu" ""
"Morocco" "lu" ""
"Finland" "lu" ""
"Ireland" "ma" ""
"Germany" "ma" "10"
"United Kingdom" "ma" "8"
"Switzerland" "ma" "7"
"Netherlands" "ma" ""
"Italy" "ma" ""
"Portugal" "ma" ""
"Austria" "ma" "3"
"Luxembourg" "ma" ""
"Sweden" "ma" "6"
"France" "ma" "1"
"Spain" "ma" "5"
"Greece" "ma" ""
"Denmark" "ma" "2"
"Turkey" "ma" "12"
"Norway" "ma" "4"
"Belgium" "ma" ""
"Morocco" "ma" ""
"Finland" "ma" ""
"Ireland" "nl" "6"
"Germany" "nl" "12"
"United Kingdom" "nl" "7"
"Switzerland" "nl" "10"
"Netherlands" "nl" ""
"Italy" "nl" "1"
"Portugal" "nl" "5"
"Austria" "nl" "3"
"Luxembourg" "nl" ""
"Sweden" "nl" ""
"France" "nl" "4"
"Spain" "nl" ""
"Greece" "nl" "8"
"Denmark" "nl" ""
"Turkey" "nl" ""
"Norway" "nl" "2"
