"Country" "Voter" "Points"
"United Kingdom" "es" "2"
"Germany" "es" "9"
"Netherlands" "es" "8"
"Austria" "es" "6"
"Italy" "es" "2"
"Portugal" "es" "7"
"Switzerland" "es" "5"
"Yugoslavia" "es" "8"
"Spain" "es" ""
"France" "es" "2"
"Finland" "es" "6"
"Sweden" "es" "3"
"Norway" "es" "5"
"Ireland" "es" "4"
"Monaco" "es" "3"
"Belgium" "es" "2"
"Malta" "es" "2"
"Luxembourg" "se" "8"
"United Kingdom" "se" "6"
"Germany" "se" "8"
"Netherlands" "se" "6"
"Austria" "se" "10"
"Italy" "se" "8"
"Portugal" "se" "7"
"Switzerland" "se" "4"
"Yugoslavia" "se" "4"
"Spain" "se" "7"
"France" "se" "2"
"Finland" "se" "4"
"Sweden" "se" ""
"Norway" "se" "4"
"Ireland" "se" "5"
"Monaco" "se" "3"
"Belgium" "se" "2"
"Malta" "se" "3"
"Luxembourg" "ch" "6"
"United Kingdom" "ch" "8"
"Germany" "ch" "5"
"Netherlands" "ch" "6"
"Austria" "ch" "7"
"Italy" "ch" "9"
"Portugal" "ch" "6"
"Switzerland" "ch" ""
"Yugoslavia" "ch" "2"
"Spain" "ch" "3"
"France" "ch" "3"
"Finland" "ch" "3"
"Sweden" "ch" "2"
"Norway" "ch" "2"
"Ireland" "ch" "3"
"Monaco" "ch" "2"
"Belgium" "ch" "3"
"Malta" "ch" "2"
"Luxembourg" "gb" "10"
"United Kingdom" "gb" ""
"Germany" "gb" "5"
"Netherlands" "gb" "9"
"Austria" "gb" "3"
"Italy" "gb" "3"
"Portugal" "gb" "4"
"Switzerland" "gb" "4"
"Yugoslavia" "gb" "5"
"Spain" "gb" "3"
"France" "gb" "9"
"Finland" "gb" "5"
"Sweden" "gb" "3"
"Norway" "gb" "4"
"Ireland" "gb" "4"
"Monaco" "gb" "5"
"Belgium" "gb" "5"
"Malta" "gb" "6"
"Luxembourg" "yu" "10"
"United Kingdom" "yu" "9"
"Germany" "yu" "5"
"Netherlands" "yu" "9"
"Austria" "yu" "8"
"Italy" "yu" "4"
"Portugal" "yu" "4"
"Switzerland" "yu" "5"
"Yugoslavia" "yu" ""
"Spain" "yu" "2"
"France" "yu" "5"
"Finland" "yu" "4"
"Sweden" "yu" "7"
"Norway" "yu" "5"
"Ireland" "yu" "3"
"Monaco" "yu" "4"
"Belgium" "yu" "2"
"Malta" "yu" "2"
