"Country" "Voter" "Points"
"United Kingdom" "at" "3"
"Ireland" "at" "3"
"France" "at" "1"
"Luxembourg" "at" ""
"Monaco" "at" "2"
"Spain" "at" "1"
"Belgium" "at" ""
"Sweden" "at" ""
"Germany" "at" ""
"Yugoslavia" "at" ""
"Italy" "at" ""
"Portugal" "at" ""
"Finland" "at" ""
"Netherlands" "at" ""
"Austria" "at" ""
"Norway" "at" ""
"Switzerland" "at" ""
"United Kingdom" "be" "3"
"Ireland" "be" "3"
"France" "be" ""
"Luxembourg" "be" "1"
"Monaco" "be" ""
"Spain" "be" "1"
"Belgium" "be" ""
"Sweden" "be" ""
"Germany" "be" "1"
"Yugoslavia" "be" "1"
"Italy" "be" ""
"Portugal" "be" ""
"Finland" "be" ""
"Netherlands" "be" ""
"Austria" "be" ""
"Norway" "be" ""
"Switzerland" "be" ""
"United Kingdom" "fi" "2"
"Ireland" "fi" "2"
"France" "fi" ""
"Luxembourg" "fi" "2"
"Monaco" "fi" ""
"Spain" "fi" ""
"Belgium" "fi" "3"
"Sweden" "fi" "1"
"Germany" "fi" ""
"Yugoslavia" "fi" ""
"Italy" "fi" ""
"Portugal" "fi" ""
"Finland" "fi" ""
"Netherlands" "fi" ""
"Austria" "fi" ""
"Norway" "fi" ""
"Switzerland" "fi" ""
"United Kingdom" "fr" "7"
"Ireland" "fr" ""
"France" "fr" ""
"Luxembourg" "fr" ""
"Monaco" "fr" "1"
"Spain" "fr" ""
"Belgium" "fr" ""
"Sweden" "fr" ""
"Germany" "fr" ""
"Yugoslavia" "fr" "1"
"Italy" "fr" ""
"Portugal" "fr" "1"
"Finland" "fr" ""
"Netherlands" "fr" ""
"Austria" "fr" ""
"Norway" "fr" ""
"Switzerland" "fr" ""
"United Kingdom" "de" "3"
"Ireland" "de" "4"
"France" "de" "2"
"Luxembourg" "de" ""
"Monaco" "de" ""
"Spain" "de" ""
"Belgium" "de" "1"
"Sweden" "de" ""
"Germany" "de" ""
"Yugoslavia" "de" ""
"Italy" "de" ""
"Portugal" "de" ""
"Finland" "de" ""
"Netherlands" "de" ""
"Austria" "de" ""
"Norway" "de" ""
"Switzerland" "de" ""
"United Kingdom" "ie" "1"
"Ireland" "ie" ""
"France" "ie" "1"
"Luxembourg" "ie" "2"
"Monaco" "ie" ""
"Spain" "ie" ""
"Belgium" "ie" "1"
"Sweden" "ie" "2"
"Germany" "ie" "1"
"Yugoslavia" "ie" ""
"Italy" "ie" "1"
"Portugal" "ie" ""
"Finland" "ie" ""
"Netherlands" "ie" "1"
"Austria" "ie" ""
"Norway" "ie" ""
"Switzerland" "ie" ""
"United Kingdom" "it" "2"
"Ireland" "it" "1"
"France" "it" ""
"Luxembourg" "it" "3"
"Monaco" "it" "1"
"Spain" "it" ""
"Belgium" "it" ""
"Sweden" "it" ""
"Germany" "it" "1"
"Yugoslavia" "it" "1"
"Italy" "it" ""
"Portugal" "it" ""
"Finland" "it" "1"
"Netherlands" "it" ""
"Austria" "it" ""
"Norway" "it" ""
"Switzerland" "it" ""
"United Kingdom" "lu" "5"
"Ireland" "lu" "1"
"France" "lu" "2"
"Luxembourg" "lu" ""
"Monaco" "lu" ""
"Spain" "lu" "1"
"Belgium" "lu" ""
"Sweden" "lu" ""
"Germany" "lu" ""
"Yugoslavia" "lu" "1"
"Italy" "lu" ""
"Portugal" "lu" ""
"Finland" "lu" ""
"Netherlands" "lu" ""
"Austria" "lu" ""
"Norway" "lu" ""
"Switzerland" "lu" ""
"United Kingdom" "mc" "3"
"Ireland" "mc" "2"
"France" "mc" "2"
"Luxembourg" "mc" "1"
"Monaco" "mc" ""
"Spain" "mc" "2"
"Belgium" "mc" ""
"Sweden" "mc" ""
"Germany" "mc" ""
"Yugoslavia" "mc" ""
"Italy" "mc" ""
"Portugal" "mc" ""
"Finland" "mc" ""
"Netherlands" "mc" ""
"Austria" "mc" ""
"Norway" "mc" ""
"Switzerland" "mc" ""
"United Kingdom" "nl" "2"
"Ireland" "nl" ""
"France" "nl" "1"
"Luxembourg" "nl" "4"
"Monaco" "nl" ""
"Spain" "nl" "1"
"Belgium" "nl" ""
"Sweden" "nl" ""
"Germany" "nl" ""
"Yugoslavia" "nl" ""
"Italy" "nl" ""
"Portugal" "nl" ""
"Finland" "nl" "1"
"Netherlands" "nl" ""
"Austria" "nl" ""
"Norway" "nl" "1"
"Switzerland" "nl" ""
"United Kingdom" "no" "7"
"Ireland" "no" ""
"France" "no" ""
"Luxembourg" "no" ""
"Monaco" "no" ""
"Spain" "no" ""
"Belgium" "no" ""
"Sweden" "no" "2"
"Germany" "no" "1"
"Yugoslavia" "no" ""
"Italy" "no" ""
"Portugal" "no" ""
"Finland" "no" ""
"Netherlands" "no" ""
"Austria" "no" ""
"Norway" "no" ""
"Switzerland" "no" ""
"United Kingdom" "pt" "1"
"Ireland" "pt" "1"
"France" "pt" ""
"Luxembourg" "pt" ""
"Monaco" "pt" ""
"Spain" "pt" "2"
"Belgium" "pt" "1"
"Sweden" "pt" "1"
"Germany" "pt" "1"
"Yugoslavia" "pt" "1"
"Italy" "pt" ""
"Portugal" "pt" ""
"Finland" "pt" "1"
"Netherlands" "pt" ""
"Austria" "pt" "1"
"Norway" "pt" ""
"Switzerland" "pt" ""
"United Kingdom" "es" ""
"Ireland" "es" ""
"France" "es" ""
"Luxembourg" "es" "1"
"Monaco" "es" "5"
"Spain" "es" ""
"Belgium" "es" ""
"Sweden" "es" ""
"Germany" "es" ""
"Yugoslavia" "es" "2"
"Italy" "es" "1"
"Portugal" "es" "1"
"Finland" "es" ""
"Netherlands" "es" ""
"Austria" "es" ""
"Norway" "es" ""
"Switzerland" "es" ""
"United Kingdom" "se" "1"
"Ireland" "se" "2"
"France" "se" "4"
"Luxembourg" "se" ""
"Monaco" "se" "1"
"Spain" "se" ""
"Belgium" "se" ""
"Sweden" "se" ""
"Germany" "se" "1"
"Yugoslavia" "se" ""
"Italy" "se" ""
"Portugal" "se" ""
"Finland" "se" ""
"Netherlands" "se" ""
"Austria" "se" ""
"Norway" "se" "1"
"Switzerland" "se" ""
"United Kingdom" "ch" "7"
"Ireland" "ch" ""
"France" "ch" "1"
"Luxembourg" "ch" ""
"Monaco" "ch" ""
"Spain" "ch" ""
"Belgium" "ch" ""
"Sweden" "ch" ""
"Germany" "ch" ""
"Yugoslavia" "ch" ""
"Italy" "ch" "1"
"Portugal" "ch" "1"
"Finland" "ch" ""
"Netherlands" "ch" ""
"Austria" "ch" ""
"Norway" "ch" ""
"Switzerland" "ch" ""
"United Kingdom" "gb" ""
"Ireland" "gb" "2"
"France" "gb" "2"
"Luxembourg" "gb" "2"
"Monaco" "gb" ""
"Spain" "gb" ""
"Belgium" "gb" "1"
"Sweden" "gb" ""
