"Country" "Voter" "Points"
"United Kingdom" "at" "10"
"France" "at" "12"
"Monaco" "at" "5"
"Switzerland" "at" "8"
"Austria" "at" ""
"Israel" "at" "6"
"Italy" "at" "1"
"Belgium" "at" "3"
"Netherlands" "at" "4"
"Ireland" "at" "2"
"Finland" "at" "7"
"Portugal" "at" ""
"Greece" "at" ""
"Luxembourg" "at" ""
"Germany" "at" ""
"Spain" "at" ""
"Yugoslavia" "at" ""
"Norway" "at" ""
"United Kingdom" "be" "12"
"France" "be" "10"
"Monaco" "be" "8"
"Switzerland" "be" "7"
"Austria" "be" "3"
"Israel" "be" "5"
"Italy" "be" ""
"Belgium" "be" ""
"Netherlands" "be" "4"
"Ireland" "be" ""
"Finland" "be" ""
"Portugal" "be" ""
"Greece" "be" "2"
"Luxembourg" "be" "6"
"Germany" "be" "1"
"Spain" "be" ""
"Yugoslavia" "be" ""
"Norway" "be" ""
"United Kingdom" "fi" "10"
"France" "fi" "3"
"Monaco" "fi" "2"
"Switzerland" "fi" "7"
"Austria" "fi" "5"
"Israel" "fi" "8"
"Italy" "fi" "6"
"Belgium" "fi" "12"
"Netherlands" "fi" ""
"Ireland" "fi" ""
"Finland" "fi" ""
"Portugal" "fi" "1"
"Greece" "fi" "4"
"Luxembourg" "fi" ""
"Germany" "fi" ""
"Spain" "fi" ""
"Yugoslavia" "fi" ""
"Norway" "fi" ""
"United Kingdom" "fr" "7"
"France" "fr" ""
"Monaco" "fr" ""
"Switzerland" "fr" "6"
"Austria" "fr" ""
"Israel" "fr" ""
"Italy" "fr" "10"
"Belgium" "fr" "5"
"Netherlands" "fr" ""
"Ireland" "fr" "3"
"Finland" "fr" ""
"Portugal" "fr" "12"
"Greece" "fr" "8"
"Luxembourg" "fr" ""
"Germany" "fr" "2"
"Spain" "fr" "1"
"Yugoslavia" "fr" "4"
"Norway" "fr" ""
"United Kingdom" "de" "8"
"France" "de" "12"
"Monaco" "de" "7"
"Switzerland" "de" "5"
"Austria" "de" "10"
"Israel" "de" "3"
"Italy" "de" ""
"Belgium" "de" ""
"Netherlands" "de" "4"
"Ireland" "de" "1"
"Finland" "de" "6"
"Portugal" "de" ""
"Greece" "de" ""
"Luxembourg" "de" ""
"Germany" "de" ""
"Spain" "de" ""
"Yugoslavia" "de" "2"
"Norway" "de" ""
"United Kingdom" "gr" "12"
"France" "gr" "5"
"Monaco" "gr" ""
"Switzerland" "gr" "2"
"Austria" "gr" "6"
"Israel" "gr" ""
"Italy" "gr" "10"
"Belgium" "gr" ""
"Netherlands" "gr" "7"
"Ireland" "gr" "8"
"Finland" "gr" ""
"Portugal" "gr" "4"
"Greece" "gr" ""
"Luxembourg" "gr" ""
"Germany" "gr" ""
"Spain" "gr" "1"
"Yugoslavia" "gr" "3"
"Norway" "gr" ""
"United Kingdom" "ie" "3"
"France" "ie" "7"
"Monaco" "ie" "8"
"Switzerland" "ie" "1"
"Austria" "ie" "10"
"Israel" "ie" "4"
"Italy" "ie" "12"
"Belgium" "ie" ""
"Netherlands" "ie" "2"
"Ireland" "ie" ""
"Finland" "ie" "5"
"Portugal" "ie" ""
"Greece" "ie" ""
"Luxembourg" "ie" "6"
"Germany" "ie" ""
"Spain" "ie" ""
"Yugoslavia" "ie" ""
"Norway" "ie" ""
"United Kingdom" "il" "12"
"France" "il" "5"
"Monaco" "il" "7"
"Switzerland" "il" "4"
"Austria" "il" "10"
"Israel" "il" ""
"Italy" "il" "2"
"Belgium" "il" "1"
"Netherlands" "il" "8"
"Ireland" "il" "3"
"Finland" "il" "6"
"Portugal" "il" ""
"Greece" "il" ""
"Luxembourg" "il" ""
"Germany" "il" ""
"Spain" "il" ""
"Yugoslavia" "il" ""
"Norway" "il" ""
"United Kingdom" "it" "4"
"France" "it" "6"
"Monaco" "it" "7"
"Switzerland" "it" ""
"Austria" "it" ""
"Israel" "it" "10"
"Italy" "it" ""
"Belgium" "it" "8"
"Netherlands" "it" "2"
"Ireland" "it" "12"
"Finland" "it" ""
"Portugal" "it" "1"
"Greece" "it" "5"
"Luxembourg" "it" ""
"Germany" "it" ""
"Spain" "it" "3"
"Yugoslavia" "it" ""
"Norway" "it" ""
"United Kingdom" "lu" "8"
"France" "lu" "10"
"Monaco" "lu" "12"
"Switzerland" "lu" "1"
"Austria" "lu" "5"
"Israel" "lu" "7"
"Italy" "lu" ""
"Belgium" "lu" ""
"Netherlands" "lu" "4"
"Ireland" "lu" "3"
"Finland" "lu" ""
"Portugal" "lu" "6"
"Greece" "lu" ""
"Luxembourg" "lu" ""
"Germany" "lu" "2"
"Spain" "lu" ""
"Yugoslavia" "lu" ""
"Norway" "lu" ""
"United Kingdom" "mc" "10"
"France" "mc" "12"
"Monaco" "mc" ""
"Switzerland" "mc" "4"
"Austria" "mc" "5"
"Israel" "mc" "1"
"Italy" "mc" ""
"Belgium" "mc" "8"
"Netherlands" "mc" "2"
"Ireland" "mc" "6"
"Finland" "mc" "7"
"Portugal" "mc" ""
"Greece" "mc" ""
"Luxembourg" "mc" ""
"Germany" "mc" ""
"Spain" "mc" "3"
"Yugoslavia" "mc" ""
"Norway" "mc" ""
"United Kingdom" "nl" "10"
"France" "nl" "12"
"Monaco" "nl" "8"
"Switzerland" "nl" "6"
"Austria" "nl" "7"
"Israel" "nl" "2"
"Italy" "nl" ""
"Belgium" "nl" "4"
"Netherlands" "nl" ""
"Ireland" "nl" ""
"Finland" "nl" "1"
"Portugal" "nl" ""
"Greece" "nl" ""
"Luxembourg" "nl" "5"
"Germany" "nl" ""
"Spain" "nl" ""
"Yugoslavia" "nl" ""
"Norway" "nl" "3"
"United Kingdom" "no" "12"
"France" "no" "8"
"Monaco" "no" "5"
"Switzerland" "no" "10"
"Austria" "no" "2"
"Israel" "no" "7"
"Italy" "no" "3"
"Belgium" "no" "6"
"Netherlands" "no" "1"
"Ireland" "no" ""
"Finland" "no" "4"
"Portugal" "no" ""
"Greece" "no" ""
"Luxembourg" "no" ""
"Germany" "no" ""
"Spain" "no" ""
"Yugoslavia" "no" ""
"Norway" "no" ""
"United Kingdom" "pt" "12"
"France" "pt" "5"
"Monaco" "pt" "3"
"Switzerland" "pt" "7"
"Austria" "pt" ""
"Israel" "pt" "2"
"Italy" "pt" "10"
"Belgium" "pt" "8"
"Netherlands" "pt" "6"
"Ireland" "pt" ""
"Finland" "pt" ""
"Portugal" "pt" ""
"Greece" "pt" "1"
"Luxembourg" "pt" ""
"Germany" "pt" ""
"Spain" "pt" ""
"Yugoslavia" "pt" ""
"Norway" "pt" "4"
"United Kingdom" "es" "12"
"France" "es" "10"
"Monaco" "es" "7"
"Switzerland" "es" "4"
"Austria" "es" "8"
"Israel" "es" "1"
"Italy" "es" ""
"Belgium" "es" ""
"Netherlands" "es" "3"
"Ireland" "es" "5"
"Finland" "es" "6"
"Portugal" "es" ""
"Greece" "es" ""
