"Country" "Voter" "Points"
"Luxembourg" "es" ""
"Germany" "es" "2"
"Spain" "es" ""
"Yugoslavia" "es" ""
"Norway" "es" ""
"United Kingdom" "ch" "12"
"France" "ch" "10"
"Monaco" "ch" "5"
"Switzerland" "ch" ""
"Austria" "ch" "3"
"Israel" "ch" "7"
"Italy" "ch" "8"
"Belgium" "ch" "6"
"Netherlands" "ch" "4"
"Ireland" "ch" ""
"Finland" "ch" ""
"Portugal" "ch" ""
"Greece" "ch" ""
"Luxembourg" "ch" ""
"Germany" "ch" "2"
"Spain" "ch" ""
"Yugoslavia" "ch" "1"
"Norway" "ch" ""
"United Kingdom" "gb" ""
"France" "gb" "8"
"Monaco" "gb" "5"
"Switzerland" "gb" "12"
"Austria" "gb" "4"
"Israel" "gb" "6"
"Italy" "gb" "1"
"Belgium" "gb" "7"
"Netherlands" "gb" ""
"Ireland" "gb" "10"
"Finland" "gb" "2"
"Portugal" "gb" ""
"Greece" "gb" ""
"Luxembourg" "gb" ""
"Germany" "gb" ""
"Spain" "gb" "3"
"Yugoslavia" "gb" ""
"Norway" "gb" ""
"United Kingdom" "yu" "10"
"France" "yu" "12"
"Monaco" "yu" "4"
"Switzerland" "yu" "7"
"Austria" "yu" "2"
"Israel" "yu" "8"
"Italy" "yu" "6"
"Belgium" "yu" ""
"Netherlands" "yu" "5"
"Ireland" "yu" "1"
"Finland" "yu" ""
"Portugal" "yu" ""
"Greece" "yu" ""
"Luxembourg" "yu" ""
"Germany" "yu" "3"
"Spain" "yu" ""
"Yugoslavia" "yu" ""
"Norway" "yu" ""
