"Country" "Voter" "Points"
"Denmark" "at" "3"
"Switzerland" "at" "5"
"Italy" "at" ""
"United Kingdom" "at" ""
"France" "at" "2"
"Monaco" "at" "1"
"Austria" "at" ""
"Luxembourg" "at" ""
"Germany" "at" ""
"Belgium" "at" "4"
"Yugoslavia" "at" ""
"Spain" "at" ""
"Netherlands" "at" ""
"Norway" "at" ""
"Finland" "at" ""
"Sweden" "at" ""
"Denmark" "be" "5"
"Switzerland" "be" "4"
"Italy" "be" "3"
"United Kingdom" "be" ""
"France" "be" "1"
"Monaco" "be" ""
"Austria" "be" "2"
"Luxembourg" "be" ""
"Germany" "be" ""
"Belgium" "be" ""
"Yugoslavia" "be" ""
"Spain" "be" ""
"Netherlands" "be" ""
"Norway" "be" ""
"Finland" "be" ""
"Sweden" "be" ""
"Denmark" "dk" ""
"Switzerland" "dk" "4"
"Italy" "dk" "5"
"United Kingdom" "dk" "3"
"France" "dk" ""
"Monaco" "dk" ""
"Austria" "dk" "1"
"Luxembourg" "dk" "2"
"Germany" "dk" ""
"Belgium" "dk" ""
"Yugoslavia" "dk" ""
"Spain" "dk" ""
"Netherlands" "dk" ""
"Norway" "dk" ""
"Finland" "dk" ""
"Sweden" "dk" ""
"Denmark" "fi" "5"
"Switzerland" "fi" ""
"Italy" "fi" "2"
"United Kingdom" "fi" "3"
"France" "fi" ""
"Monaco" "fi" ""
"Austria" "fi" "4"
"Luxembourg" "fi" "1"
"Germany" "fi" ""
"Belgium" "fi" ""
"Yugoslavia" "fi" ""
"Spain" "fi" ""
"Netherlands" "fi" ""
"Norway" "fi" ""
"Finland" "fi" ""
"Sweden" "fi" ""
"Denmark" "fr" ""
"Switzerland" "fr" ""
"Italy" "fr" ""
"United Kingdom" "fr" "3"
"France" "fr" ""
"Monaco" "fr" "5"
"Austria" "fr" "2"
"Luxembourg" "fr" "4"
"Germany" "fr" ""
"Belgium" "fr" ""
"Yugoslavia" "fr" "1"
"Spain" "fr" ""
"Netherlands" "fr" ""
"Norway" "fr" ""
"Finland" "fr" ""
"Sweden" "fr" ""
"Denmark" "de" "2"
"Switzerland" "de" "4"
"Italy" "de" ""
"United Kingdom" "de" ""
"France" "de" "1"
"Monaco" "de" "5"
"Austria" "de" ""
"Luxembourg" "de" "3"
"Germany" "de" ""
"Belgium" "de" ""
"Yugoslavia" "de" ""
"Spain" "de" ""
"Netherlands" "de" ""
"Norway" "de" ""
"Finland" "de" ""
"Sweden" "de" ""
"Denmark" "it" "2"
"Switzerland" "it" "5"
"Italy" "it" ""
"United Kingdom" "it" ""
"France" "it" "4"
"Monaco" "it" "3"
"Austria" "it" ""
"Luxembourg" "it" "1"
"Germany" "it" ""
"Belgium" "it" ""
"Yugoslavia" "it" ""
"Spain" "it" ""
"Netherlands" "it" ""
"Norway" "it" ""
"Finland" "it" ""
"Sweden" "it" ""
"Denmark" "lu" "5"
"Switzerland" "lu" "3"
"Italy" "lu" "4"
"United Kingdom" "lu" ""
"France" "lu" "1"
"Monaco" "lu" "2"
"Austria" "lu" ""
"Luxembourg" "lu" ""
"Germany" "lu" ""
"Belgium" "lu" ""
"Yugoslavia" "lu" ""
"Spain" "lu" ""
"Netherlands" "lu" ""
"Norway" "lu" ""
"Finland" "lu" ""
"Sweden" "lu" ""
"Denmark" "mc" ""
"Switzerland" "mc" "4"
"Italy" "mc" "5"
"United Kingdom" "mc" "1"
"France" "mc" "2"
"Monaco" "mc" ""
"Austria" "mc" ""
"Luxembourg" "mc" ""
"Germany" "mc" "3"
"Belgium" "mc" ""
"Yugoslavia" "mc" ""
"Spain" "mc" ""
"Netherlands" "mc" ""
"Norway" "mc" ""
"Finland" "mc" ""
"Sweden" "mc" ""
"Denmark" "nl" "5"
"Switzerland" "nl" ""
"Italy" "nl" "1"
"United Kingdom" "nl" "3"
"France" "nl" "4"
"Monaco" "nl" "2"
"Austria" "nl" ""
"Luxembourg" "nl" ""
"Germany" "nl" ""
"Belgium" "nl" ""
"Yugoslavia" "nl" ""
"Spain" "nl" ""
"Netherlands" "nl" ""
"Norway" "nl" ""
"Finland" "nl" ""
"Sweden" "nl" ""
"Denmark" "no" "4"
"Switzerland" "no" "1"
"Italy" "no" "3"
"United Kingdom" "no" "5"
"France" "no" ""
"Monaco" "no" ""
"Austria" "no" ""
"Luxembourg" "no" ""
"Germany" "no" "2"
"Belgium" "no" ""
"Yugoslavia" "no" ""
"Spain" "no" ""
"Netherlands" "no" ""
"Norway" "no" ""
"Finland" "no" ""
"Sweden" "no" ""
"Denmark" "es" ""
"Switzerland" "es" "4"
"Italy" "es" "3"
"United Kingdom" "es" "5"
"France" "es" "1"
"Monaco" "es" ""
"Austria" "es" ""
"Luxembourg" "es" ""
"Germany" "es" ""
"Belgium" "es" ""
"Yugoslavia" "es" "2"
"Spain" "es" ""
"Netherlands" "es" ""
"Norway" "es" ""
"Finland" "es" ""
"Sweden" "es" ""
"Denmark" "se" "5"
"Switzerland" "se" "1"
"Italy" "se" ""
"United Kingdom" "se" "2"
"France" "se" ""
"Monaco" "se" "4"
"Austria" "se" "3"
"Luxembourg" "se" ""
"Germany" "se" ""
"Belgium" "se" ""
"Yugoslavia" "se" ""
"Spain" "se" ""
"Netherlands" "se" ""
"Norway" "se" ""
"Finland" "se" ""
"Sweden" "se" ""
"Denmark" "ch" "3"
"Switzerland" "ch" ""
"Italy" "ch" "5"
"United Kingdom" "ch" ""
"France" "ch" "4"
"Monaco" "ch" "1"
"Austria" "ch" ""
"Luxembourg" "ch" "2"
"Germany" "ch" ""
"Belgium" "ch" ""
"Yugoslavia" "ch" ""
"Spain" "ch" ""
"Netherlands" "ch" ""
"Norway" "ch" ""
"Finland" "ch" ""
"Sweden" "ch" ""
"Denmark" "gb" "3"
"Switzerland" "gb" "5"
"Italy" "gb" "2"
"United Kingdom" "gb" ""
"France" "gb" ""
"Monaco" "gb" "1"
"Austria" "gb" "4"
"Luxembourg" "gb" ""
"Germany" "gb" ""
"Belgium" "gb" ""
"Yugoslavia" "gb" ""
"Spain" "gb" ""
"Netherlands" "gb" ""
"Norway" "gb" ""
"Finland" "gb" ""
"Sweden" "gb" ""
"Denmark" "yu" ""
"Switzerland" "yu" ""
"Italy" "yu" "4"
"United Kingdom" "yu" "3"
"France" "yu" "5"
"Monaco" "yu" "1"
"Austria" "yu" ""
"Luxembourg" "yu" ""
"Germany" "yu" ""
"Belgium" "yu" ""
"Yugoslavia" "yu" ""
"Spain" "yu" "2"
"Netherlands" "yu" ""
"Norway" "yu" ""
"Finland" "yu" ""
"Sweden" "yu" ""
