"Country" "Voter" "Points"
"Austria" "at" ""
"Sweden" "at" ""
"Norway" "at" "3"
"Belgium" "at" ""
"Ireland" "at" ""
"Switzerland" "at" "5"
"Yugoslavia" "at" ""
"Spain" "at" ""
"United Kingdom" "at" ""
"Germany" "at" ""
"Luxembourg" "at" "1"
"Finland" "at" ""
"Portugal" "at" ""
"Denmark" "at" ""
"Netherlands" "at" ""
"France" "at" ""
"Monaco" "at" ""
"Italy" "at" ""
"Austria" "be" "5"
"Sweden" "be" ""
"Norway" "be" ""
"Belgium" "be" ""
"Ireland" "be" "3"
"Switzerland" "be" ""
"Yugoslavia" "be" ""
"Spain" "be" ""
"United Kingdom" "be" ""
"Germany" "be" "1"
"Luxembourg" "be" ""
"Finland" "be" ""
"Portugal" "be" ""
"Denmark" "be" ""
"Netherlands" "be" ""
"France" "be" ""
"Monaco" "be" ""
"Italy" "be" ""
"Austria" "dk" ""
"Sweden" "dk" "5"
"Norway" "dk" ""
"Belgium" "dk" ""
"Ireland" "dk" ""
"Switzerland" "dk" ""
"Yugoslavia" "dk" ""
"Spain" "dk" ""
"United Kingdom" "dk" ""
"Germany" "dk" ""
"Luxembourg" "dk" ""
"Finland" "dk" "3"
"Portugal" "dk" "1"
"Denmark" "dk" ""
"Netherlands" "dk" ""
"France" "dk" ""
"Monaco" "dk" ""
"Italy" "dk" ""
"Austria" "fi" ""
"Sweden" "fi" "5"
"Norway" "fi" ""
"Belgium" "fi" ""
"Ireland" "fi" ""
"Switzerland" "fi" ""
"Yugoslavia" "fi" "1"
"Spain" "fi" ""
"United Kingdom" "fi" ""
"Germany" "fi" ""
"Luxembourg" "fi" ""
"Finland" "fi" ""
"Portugal" "fi" ""
"Denmark" "fi" "3"
"Netherlands" "fi" ""
"France" "fi" ""
"Monaco" "fi" ""
"Italy" "fi" ""
"Austria" "fr" "3"
"Sweden" "fr" ""
"Norway" "fr" ""
"Belgium" "fr" ""
"Ireland" "fr" "5"
"Switzerland" "fr" ""
"Yugoslavia" "fr" ""
"Spain" "fr" ""
"United Kingdom" "fr" ""
"Germany" "fr" ""
"Luxembourg" "fr" "1"
"Finland" "fr" ""
"Portugal" "fr" ""
"Denmark" "fr" ""
"Netherlands" "fr" ""
"France" "fr" ""
"Monaco" "fr" ""
"Italy" "fr" ""
"Austria" "de" ""
