"Country" "Voter" "Points"
"Spain" "at" "2"
"United Kingdom" "at" ""
"France" "at" "2"
"Ireland" "at" "4"
"Sweden" "at" ""
"Germany" "at" ""
"Belgium" "at" ""
"Monaco" "at" ""
"Yugoslavia" "at" "1"
"Italy" "at" ""
"Portugal" "at" ""
"Luxembourg" "at" "1"
"Austria" "at" ""
"Switzerland" "at" ""
"Norway" "at" ""
"Netherlands" "at" ""
"Finland" "at" ""
"Spain" "be" ""
"United Kingdom" "be" "2"
"France" "be" "6"
"Ireland" "be" "1"
"Sweden" "be" ""
"Germany" "be" ""
"Belgium" "be" ""
"Monaco" "be" ""
"Yugoslavia" "be" "1"
"Italy" "be" ""
"Portugal" "be" ""
"Luxembourg" "be" ""
"Austria" "be" ""
"Switzerland" "be" ""
"Norway" "be" ""
"Netherlands" "be" ""
"Finland" "be" ""
"Spain" "fi" "3"
"United Kingdom" "fi" "2"
"France" "fi" ""
"Ireland" "fi" ""
"Sweden" "fi" "1"
"Germany" "fi" ""
"Belgium" "fi" "1"
"Monaco" "fi" "3"
"Yugoslavia" "fi" ""
"Italy" "fi" ""
"Portugal" "fi" ""
"Luxembourg" "fi" ""
"Austria" "fi" ""
"Switzerland" "fi" ""
"Norway" "fi" ""
"Netherlands" "fi" ""
"Finland" "fi" ""
"Spain" "fr" "4"
"United Kingdom" "fr" "4"
"France" "fr" ""
"Ireland" "fr" ""
"Sweden" "fr" ""
"Germany" "fr" ""
"Belgium" "fr" "1"
"Monaco" "fr" ""
"Yugoslavia" "fr" ""
"Italy" "fr" ""
"Portugal" "fr" ""
"Luxembourg" "fr" "1"
"Austria" "fr" ""
"Switzerland" "fr" ""
"Norway" "fr" ""
"Netherlands" "fr" ""
"Finland" "fr" ""
"Spain" "de" "6"
"United Kingdom" "de" "2"
"France" "de" ""
"Ireland" "de" ""
"Sweden" "de" ""
"Germany" "de" ""
"Belgium" "de" ""
"Monaco" "de" ""
"Yugoslavia" "de" ""
"Italy" "de" ""
"Portugal" "de" ""
"Luxembourg" "de" ""
"Austria" "de" "2"
"Switzerland" "de" ""
"Norway" "de" ""
"Netherlands" "de" ""
"Finland" "de" ""
"Spain" "ie" "1"
"United Kingdom" "ie" "1"
"France" "ie" ""
"Ireland" "ie" ""
"Sweden" "ie" "4"
"Germany" "ie" ""
"Belgium" "ie" ""
"Monaco" "ie" "1"
"Yugoslavia" "ie" "3"
"Italy" "ie" ""
"Portugal" "ie" ""
"Luxembourg" "ie" ""
"Austria" "ie" ""
"Switzerland" "ie" ""
"Norway" "ie" ""
"Netherlands" "ie" ""
"Finland" "ie" ""
"Spain" "it" "3"
"United Kingdom" "it" "1"
"France" "it" "2"
"Ireland" "it" ""
"Sweden" "it" ""
"Germany" "it" ""
"Belgium" "it" "3"
"Monaco" "it" ""
"Yugoslavia" "it" ""
"Italy" "it" ""
"Portugal" "it" ""
"Luxembourg" "it" ""
"Austria" "it" ""
"Switzerland" "it" ""
"Norway" "it" ""
"Netherlands" "it" "1"
"Finland" "it" ""
"Spain" "lu" "1"
"United Kingdom" "lu" "1"
"France" "lu" "3"
"Ireland" "lu" "1"
"Sweden" "lu" ""
"Germany" "lu" "1"
"Belgium" "lu" ""
"Monaco" "lu" "1"
"Yugoslavia" "lu" "1"
"Italy" "lu" ""
"Portugal" "lu" ""
"Luxembourg" "lu" ""
"Austria" "lu" ""
"Switzerland" "lu" ""
"Norway" "lu" "1"
"Netherlands" "lu" ""
"Finland" "lu" ""
"Spain" "mc" "4"
"United Kingdom" "mc" "5"
"France" "mc" ""
"Ireland" "mc" ""
